hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,10.94,40.8,0.0,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,8101.25,0.0,0.0,7.44,27.83
1,11.12,42.09,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,8105.77,0.0,7.45,0.0,29.46
2,11.12,42.89,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-7.25,-0.0,-7.66,0.0,0.0,8110.29,7.44,0.0,0.0,28.45
3,11.04,43.18,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,6.88,0.0,8114.8,0.0,0.0,7.45,28.84
4,10.77,42.95,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,15.72,0.0,8119.32,0.0,0.0,7.44,28.26
5,10.52,43.16,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,24.55,0.0,8123.84,7.42,0.0,0.0,26.72
6,10.37,43.29,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,33.39,0.0,8128.36,0.0,0.0,7.45,29.19
7,10.22,43.4,0.49,1.18,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,42.22,0.0,8132.88,0.0,7.44,0.0,27.8
8,10.19,42.93,7.38,1.19,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,51.06,0.0,8137.4,7.45,0.0,0.0,28.88
9,10.06,41.0,19.11,1.31,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,59.89,0.0,8141.92,7.53,0.0,0.0,36.29
10,9.94,40.13,29.47,1.38,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,68.73,0.0,8146.44,0.0,0.0,7.56,39.61
11,9.99,41.15,33.73,1.38,0.0,0.0,0.0,0.0,0.0,-9.3,-10.37,-7.66,77.56,0.0,8150.96,0.0,0.0,7.62,44.99
12,10.1,41.35,32.55,1.29,0.0,0.0,0.0,0.0,0.0,-9.3,-20.08,-7.66,86.4,9.33,8155.48,0.0,0.0,7.65,47.01
13,10.22,41.21,25.23,1.36,0.0,0.0,0.0,0.0,0.0,-9.3,-17.09,-7.66,95.23,27.4,8160.0,7.61,0.0,0.0,43.97
14,10.35,40.76,14.91,1.25,0.0,0.0,0.0,0.0,0.0,-9.3,-13.88,-7.66,104.07,42.78,8164.52,7.53,0.0,0.0,36.43
15,10.48,41.62,4.27,1.27,0.0,0.0,0.0,0.0,0.0,-9.3,-8.69,-7.66,112.9,55.28,8169.04,0.0,7.48,0.0,31.98
16,10.59,42.29,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-9.3,-4.72,-7.66,121.74,63.1,8173.56,0.0,7.49,0.0,32.45
17,10.63,42.33,0.0,1.33,0.0,0.0,0.0,0.0,0.0,-9.3,-4.31,-7.66,130.57,67.35,8178.08,0.0,7.49,0.0,33.03
18,10.57,41.68,0.0,1.45,0.0,0.0,0.0,0.0,0.0,-9.3,-3.24,-7.66,139.41,71.23,8182.6,0.0,0.0,7.5,33.5
19,10.38,40.74,0.0,1.82,0.0,0.0,0.0,0.0,0.0,-7.42,-0.0,-7.66,148.24,74.14,8187.12,7.55,0.0,0.0,37.86
20,10.17,39.16,0.0,1.71,0.0,0.0,0.0,0.0,0.0,-2.59,-0.0,-7.66,155.29,74.14,8191.63,7.58,0.0,0.0,40.79
21,9.88,37.8,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-2.97,-0.0,-7.66,157.75,74.14,8196.15,0.0,0.0,7.55,38.55
22,9.51,36.71,0.0,1.47,0.0,0.0,0.0,0.0,0.0,-4.36,-0.0,-7.66,160.56,74.14,8200.67,7.52,0.0,0.0,35.66
23,9.05,35.14,0.0,1.39,0.0,0.0,0.0,0.0,0.0,-6.0,-0.0,-7.66,164.71,74.14,8205.19,7.48,0.0,0.0,31.92
24,8.69,33.74,0.0,1.31,0.0,0.0,0.0,0.0,0.0,-4.9,-0.0,-7.66,170.41,74.14,8209.71,0.0,0.0,7.47,31.18
25,8.41,32.86,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-0.6,-0.0,-7.66,175.06,74.14,8214.23,0.0,0.0,7.5,34.15
26,8.11,32.04,0.0,1.1,0.0,0.0,0.0,0.0,0.0,-1.08,-0.0,-7.66,175.63,74.14,8218.75,0.0,7.49,0.0,32.51
27,7.88,31.22,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-0.93,-0.0,-7.66,176.66,74.14,8223.27,0.0,0.0,7.48,31.67
28,7.59,31.07,0.0,1.16,0.0,0.0,0.0,0.0,0.0,-0.33,-0.0,-7.66,177.54,74.14,8227.79,0.0,0.0,7.48,31.83
29,7.17,30.31,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-2.25,-0.0,-7.66,177.86,74.14,8232.31,7.45,0.0,0.0,28.77
30,6.58,28.58,0.0,1.21,0.0,0.0,2.47,0.0,0.0,-0.0,-0.0,-7.66,180.0,74.14,8236.83,6.83,0.64,0.0,31.18
31,5.89,26.48,1.26,1.18,0.0,0.0,7.72,0.0,0.0,-0.0,-0.0,-7.66,177.26,74.14,8241.35,0.0,7.51,0.0,34.88
32,5.1,23.15,12.5,1.23,0.0,0.0,2.44,0.0,0.0,-0.0,-0.0,-7.66,168.68,74.14,8245.87,0.0,7.53,0.0,36.77
33,3.99,19.26,26.35,1.33,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,165.97,74.14,8250.39,0.0,0.0,7.57,40.11
34,2.86,17.86,41.06,1.43,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,165.97,74.14,8254.91,7.73,0.0,0.0,54.38
35,2.11,18.18,50.02,1.5,0.0,0.0,0.0,0.0,0.0,-9.12,-0.0,-7.66,165.97,74.14,8259.43,7.73,0.0,0.0,55.04
36,1.66,18.33,51.63,1.58,0.0,0.0,0.0,0.0,0.0,-5.65,-0.0,-7.66,174.64,74.14,8263.94,0.0,0.0,7.79,59.9
37,1.56,18.54,44.89,1.62,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.61,180.0,74.14,8268.46,0.0,0.0,7.78,59.0
38,1.6,18.26,32.11,1.46,0.0,0.0,0.0,0.0,2.1,-0.0,-0.0,-0.0,180.0,74.14,8272.95,0.0,0.0,7.74,55.53
39,1.73,19.49,10.85,1.43,0.0,0.0,0.0,16.93,0.0,-0.0,-0.0,-0.0,180.0,74.14,8268.28,0.0,0.0,7.68,50.44
40,1.74,20.6,0.05,1.59,0.0,0.0,0.0,0.0,17.36,-0.0,-0.0,-0.0,180.0,56.32,8268.28,0.0,0.0,7.58,41.33
41,1.54,19.71,0.0,1.9,0.0,0.0,0.0,0.0,17.38,-0.0,-0.0,-0.0,180.0,56.32,8229.71,0.0,7.58,0.0,40.53
42,1.26,17.6,0.0,2.24,0.0,0.0,4.43,20.08,0.0,-0.0,-0.0,-0.0,180.0,56.32,8191.09,0.0,0.0,7.63,45.61
43,1.01,15.32,0.0,2.49,0.0,0.0,0.0,20.08,10.09,-0.0,-0.0,-0.0,175.07,35.18,8191.09,0.0,0.0,7.67,49.0
44,0.86,13.39,0.0,2.43,0.0,0.0,0.0,0.0,28.0,-0.0,-0.0,-0.0,175.07,14.04,8168.66,0.0,0.0,7.62,44.68
45,0.71,12.1,0.0,2.12,0.0,0.0,0.0,0.0,28.67,-0.0,-0.0,-0.0,175.07,14.04,8106.44,0.0,7.61,0.0,43.61
46,0.55,11.31,0.0,1.93,0.0,0.0,0.0,0.0,30.32,-0.0,-0.0,-0.0,175.07,14.04,8042.72,0.0,0.0,7.61,44.11
47,0.47,11.1,0.0,1.93,0.0,0.0,0.0,0.0,26.99,-0.0,-0.0,-0.0,175.07,14.04,7975.34,0.0,7.57,0.0,40.49
48,0.46,11.21,0.0,1.9,0.0,0.0,0.0,0.0,28.64,-0.0,-0.0,-0.0,175.07,14.04,7915.36,0.0,7.59,0.0,42.22
49,0.48,11.26,0.0,1.79,0.0,0.0,5.34,0.0,32.93,-0.0,-0.0,-0.0,175.07,14.04,7851.71,0.0,7.7,0.0,51.8
50,0.57,11.13,0.0,1.73,0.0,0.0,2.26,0.0,32.93,-0.0,-0.0,-0.0,169.15,14.04,7778.54,0.0,7.66,0.0,48.61
51,0.81,11.07,0.0,1.64,0.0,0.0,0.97,0.0,32.93,-0.0,-0.0,-0.0,166.64,14.04,7705.36,0.0,0.0,7.65,47.41
52,1.02,11.25,0.0,1.49,0.0,0.0,0.65,0.69,32.93,-0.0,-0.0,-0.0,165.56,14.04,7632.18,0.0,0.0,7.66,48.03
53,0.99,11.37,0.0,1.45,0.0,0.0,0.83,0.0,32.93,-0.0,-0.0,-0.0,164.84,13.32,7559.0,7.65,0.0,0.0,47.57
54,0.96,11.37,0.0,1.48,0.0,0.0,9.3,0.0,27.27,-0.0,-0.0,-0.0,163.92,13.32,7485.83,0.0,7.68,0.0,50.39
55,1.07,11.54,2.32,1.53,0.0,0.0,9.3,0.0,32.17,-0.0,-0.0,-0.0,153.59,13.32,7425.22,0.0,0.0,7.77,57.94
56,1.22,11.17,18.62,1.67,0.0,0.0,9.3,0.0,18.04,-0.0,-0.0,-0.0,143.26,13.32,7353.72,0.0,0.0,7.79,60.03
57,1.35,10.59,36.59,1.71,0.0,0.0,0.0,0.0,15.96,-0.0,-0.0,-0.0,132.92,13.32,7313.63,7.86,0.0,0.0,66.2
58,1.49,11.01,49.64,1.88,0.0,0.0,0.0,0.0,2.77,-0.0,-0.0,-0.0,132.92,13.32,7278.17,7.86,0.0,0.0,66.8
59,1.8,11.61,56.52,1.99,0.0,0.0,3.2,0.0,0.0,-0.0,-0.0,-0.0,132.92,13.32,7272.0,0.0,7.96,0.0,75.12
60,2.16,12.25,56.06,2.01,0.0,0.0,3.66,0.0,0.0,-0.0,-0.0,-0.0,129.36,13.32,7272.0,0.0,7.97,0.0,76.14
61,2.42,12.66,48.07,2.0,0.0,0.0,9.3,0.0,1.21,-0.0,-0.0,-0.0,125.3,13.32,7272.0,0.0,0.0,7.96,75.67
62,2.75,12.94,32.05,1.85,0.0,0.0,9.3,0.0,12.86,-0.0,-0.0,-0.0,114.97,13.32,7269.32,0.0,0.0,7.92,71.76
63,3.39,14.48,10.87,1.71,0.0,0.0,9.3,0.0,25.28,-0.0,-0.0,-0.0,104.63,13.32,7240.73,0.0,7.84,0.0,65.03
64,4.0,16.01,0.07,1.72,0.0,0.0,9.3,0.0,30.95,-0.0,-0.0,-0.0,94.3,13.32,7184.56,0.0,7.81,0.0,62.04
65,4.35,16.65,0.0,1.9,0.0,0.0,9.3,0.0,27.84,-0.0,-0.0,-0.0,83.97,13.32,7115.79,0.0,7.79,0.0,60.04
66,4.52,17.12,0.0,2.21,0.0,0.0,9.3,0.0,30.34,-0.0,-0.0,-0.0,73.63,13.32,7053.93,0.0,0.0,7.83,63.5
67,4.55,17.45,0.0,2.57,0.0,0.0,9.3,0.28,32.93,-0.0,-0.0,-0.0,63.3,13.32,6986.5,0.0,7.87,0.0,67.09
68,4.43,17.49,0.0,2.56,0.0,0.0,9.3,0.0,29.68,-0.0,-0.0,-0.0,52.97,13.02,6913.32,0.0,0.0,7.83,63.46
69,4.01,17.46,0.0,2.27,0.0,0.0,9.3,0.0,25.42,-0.0,-0.0,-0.0,42.63,13.02,6847.36,0.0,7.77,0.0,58.46
70,3.52,17.23,0.0,2.27,0.0,0.0,9.3,0.0,25.11,-0.0,-0.0,-0.0,32.3,13.02,6790.88,0.0,7.76,0.0,57.43
71,3.18,16.89,0.0,2.14,0.0,0.0,9.3,0.0,19.63,-0.0,-0.0,-0.0,21.97,13.02,6735.07,0.0,0.0,7.69,51.14
72,3.17,16.03,0.0,2.0,0.0,0.0,9.3,0.0,21.07,-0.0,-0.0,-0.0,11.63,13.02,6691.45,0.0,0.0,7.7,51.57
73,3.5,15.28,0.0,1.85,0.0,0.0,0.0,0.0,32.88,-0.0,-0.0,-0.0,1.3,13.02,6644.63,0.0,7.72,0.0,53.51
74,3.99,14.71,0.0,1.72,0.0,0.0,0.0,0.0,27.75,-0.0,-0.0,-0.0,1.3,13.02,6571.56,7.66,0.0,0.0,48.17
75,4.71,14.62,0.0,1.73,0.0,0.0,0.0,0.0,28.51,-0.0,-0.0,-0.0,1.3,13.02,6509.9,7.67,0.0,0.0,49.57
76,5.41,15.53,0.0,1.78,13.0,0.0,0.0,0.0,14.57,-0.0,-0.0,-0.0,1.3,13.02,6446.54,0.0,7.68,0.0,50.29
77,6.02,17.08,0.0,1.86,0.0,0.0,0.0,12.37,15.49,-0.0,-0.0,-0.0,1.3,13.02,6414.15,0.0,7.71,0.0,52.82
78,6.6,18.73,0.0,2.07,0.0,0.0,1.17,0.0,23.79,-0.0,-0.0,-0.0,1.3,0.0,6379.74,0.0,7.71,0.0,52.37
79,7.04,20.68,2.31,2.42,0.0,0.0,0.0,0.0,22.03,-0.0,-0.0,-0.0,0.0,0.0,6326.87,0.0,7.73,0.0,54.48
80,7.35,21.58,16.77,2.75,0.0,0.0,0.0,0.0,9.94,-0.0,-0.0,-0.0,0.0,0.0,6277.9,0.0,0.0,7.77,58.39
81,7.17,20.71,32.86,3.17,0.0,0.0,0.0,0.0,1.9,-0.0,-0.0,-0.0,0.0,0.0,6255.82,7.85,0.0,0.0,65.81
82,6.86,20.75,44.17,3.26,0.0,0.0,0.0,0.0,0.0,-6.14,-0.0,-0.0,0.0,0.0,6251.59,7.89,0.0,0.0,68.9
83,6.82,20.77,49.29,3.2,0.0,0.0,0.0,0.0,0.0,-6.78,-0.0,-0.0,5.83,0.0,6251.59,7.94,0.0,0.0,73.3
84,7.0,20.37,48.09,3.3,0.0,0.0,1.07,0.0,0.0,-0.0,-0.0,-0.0,12.27,0.0,6251.59,8.01,0.0,0.0,79.82
85,7.27,20.15,41.07,3.32,0.0,0.0,0.0,0.0,6.62,-0.0,-0.0,-0.0,11.09,0.0,6251.59,7.99,0.0,0.0,78.43
86,7.46,19.91,28.06,3.22,5.65,0.0,0.0,0.0,7.31,-0.0,-0.0,-0.0,11.09,0.0,6236.89,0.0,7.92,0.0,71.61
87,7.89,23.95,9.74,3.21,0.0,0.0,9.3,0.0,12.2,-0.0,-0.0,-0.0,11.09,0.0,6220.64,0.0,0.0,7.86,66.29
88,8.43,30.85,0.02,3.26,0.0,0.0,0.0,0.0,21.31,-0.0,-0.0,-0.0,0.75,0.0,6193.53,0.0,7.83,0.0,63.87
