hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,28.69
1,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,31.21
2,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,27.7
3,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,27.99
4,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,28.16
5,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,28.02
6,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,29.0
7,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,27.78
8,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,31.14
9,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,37.23
10,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,40.06
11,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,43.68
12,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,46.73
13,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,44.52
14,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,37.07
15,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,33.46
16,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,31.38
17,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,32.25
18,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,34.03
19,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,37.01
20,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,40.36
21,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,37.94
22,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,35.63
23,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,31.3
24,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,32.15
25,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,34.47
26,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,31.91
27,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,31.55
28,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,31.29
29,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,30.09
30,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,31.4
31,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,35.17
32,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,35.83
33,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,39.43
34,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,51.43
35,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,55.94
36,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,59.58
37,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,57.83
38,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,54.27
39,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,50.85
40,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,40.21
41,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,40.58
42,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,45.96
43,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,49.29
44,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,43.87
45,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,43.17
46,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,44.28
47,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,40.97
48,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,41.35
49,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,50.11
50,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,47.9
51,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,48.27
52,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,48.49
53,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,49.2
54,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,50.23
55,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,55.65
56,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,59.89
57,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,65.43
